date,Symbol,monthly_avg,monthly_base,compounded_total,index,Name,Exchange,Sector,Industry,DateAdded,Founded,City,State,Country,2021Price,2021Marketcap,2021Ebitda,2021Revenuegrowth,2021Fulltimeemployees
2017-07,SPGI,0.002565554669112802,1.0798996039983295,7.837681040804751,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-08,SPGI,0.00026503117347898974,1.007981565983985,7.900238009193362,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-09,SPGI,0.00065047428758368,1.0196994067778788,8.055868011378521,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-10,SPGI,0.00011697263124697191,1.003515137369987,8.084185494073001,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-11,SPGI,0.0026967267681366454,1.0841463614971125,8.76444028906698,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2017-12,SPGI,0.0012051179383512245,1.0367924566669253,9.086905578612331,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2018-01,SPGI,0.0032241078642912444,1.1013840841616387,10.008173178563228,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2018-02,SPGI,0.0028737365726600127,1.0899027352726822,10.907935322398757,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-01,MCO,0.0,1.0,1.0,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-02,MCO,0.007576699530124147,1.254132646354236,1.254132646354236,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-03,MCO,0.005257602914911402,1.1703641026475806,1.467791829251411,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-04,MCO,0.006218390013096769,1.2043910279081813,1.7677953099873365,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-05,MCO,0.004090725211966906,1.1302868254163994,1.9981157489115862,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-06,MCO,-0.004116893895035995,0.8835903320804183,1.765515758115902,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-07,MCO,0.00494482980032375,1.1594889277332519,2.0470959732739664,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-08,MCO,-0.0027674344945906996,0.9202240300738684,1.8837869064741575,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-09,MCO,0.005137711412780355,1.1661838509814022,2.1968418690203757,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-10,MCO,0.0002889035038644572,1.0087035105845623,2.215962105480004,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-11,MCO,0.002786448438390754,1.0870604350603663,2.4088847304603784,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2013-12,MCO,0.0024914093269669244,1.0775062326692841,2.5955883108529263,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-01,MCO,-0.002321549677061002,0.9326479695726569,2.420770167963504,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-02,MCO,0.003146384600335783,1.0988271159505554,2.6600079020424787,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-03,MCO,0.00031690536363840734,1.0095509770207074,2.6854135763897866,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-04,MCO,-0.00037297183815503186,0.9888711467147273,2.6555280026878654,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-05,MCO,0.004173590768617246,1.1330885846182712,3.008948465979778,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-06,MCO,0.0011839230525581424,1.0361342113168324,3.11767444569095,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-07,MCO,-0.0002827475863868556,0.9915522574045976,3.091337134477489,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-08,MCO,0.0035004900638204556,1.1105232806651197,3.4330018562218516,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-09,MCO,0.0005072781467226365,1.0153308152437244,3.4856325734109515,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-10,MCO,0.002268082142484765,1.0703282935337342,3.730771164184542,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-11,MCO,0.0009597247603107803,1.0291960212677005,3.8396948384389975,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2014-12,MCO,-0.00229845093065609,0.933295980944944,3.5835717607701625,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-01,MCO,-0.0022940947425845624,0.9334182380536528,3.3449712388769113,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-02,MCO,0.00327525883920664,1.1030700047612132,3.689737440394076,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-03,MCO,0.0032029361642785903,1.1006870004526725,4.061246035725277,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-04,MCO,0.0016930097083283874,1.0520570527390445,4.2726625347932625,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-05,MCO,0.0003014393750946975,1.0090828192630241,4.311470356368684,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
